"id","id","time_disturbance","B4","trait","fitness"
4,4,8,0,-8.8956904097289,-0.0901503553681142
4,4,8,0,-8.87718158842023,-0.0959320366153121
4,4,8,0,-8.85867276711157,-0.1017471238736
4,4,8,0,-8.84016394580291,-0.107596013341782
4,4,8,0,-8.82165512449424,-0.11347648190938
4,4,8,0,-8.78463748187692,-0.125321492053541
4,4,8,0,-8.76612866056825,-0.131284115686348
4,4,8,0,-8.74761983925959,-0.137267448081671
4,4,8,0,-8.71060219664226,-0.149299901059175
4,4,8,0,-8.63656691140761,-0.173591225956686
4,4,8,0,-8.52551398355562,-0.210483896857975
4,4,8,0,-8.45147869832097,-0.235331918417206
4,4,8,0,-8.30340812785166,-0.285562695428556
4,4,8,0,-8.26639048523433,-0.298226282381537
4,4,8,0,-8.0257758082217,-0.381610308631157
4,4,8,0,-7.80366995251774,-0.46034041758726
4,4,8,0,-7.52603763288778,-0.561535200132869
4,4,8,0,-7.19287884933183,-0.687781171744877
4,4,8,0,-6.7486671379239,-0.865881949129405
4,4,8,0,-6.39699953305929,-1.01635141990419
4,4,8,0,-6.11936721342933,-1.14208510711175
4,4,8,0,-5.69366432333007,-1.34863419316439
4,4,8,0,-5.4715584676261,-1.46393383379012
4,4,8,0,-4.89778500705753,-1.78989194257257
4,4,8,0,-4.60164386611891,-1.97633177668398
4,4,8,0,-4.52760858088425,-2.02514589262773
4,4,8,0,-4.26848508256296,-2.20337497807236
4,4,8,0,-4.04637922685899,-2.36591415305579
4,4,8,0,-3.54664105152507,-2.76832801875217
4,4,8,0,-3.1209381614258,-3.15750392874377
4,4,8,0,-2.73225291394387,-3.55641107462452
4,4,8,0,-2.17698827468395,-4.20918588673728
4,4,8,0,-2.02891770421464,-4.39972130881659
4,4,8,0,-1.78830302720201,-4.72227217425667
4,4,8,0,-1.51067070757206,-5.11248402875551
4,4,8,0,-0.844353140460163,-6.11370485431415
4,4,8,0,-0.43715907166956,-6.78931322908961
5,5,16,0,-9.21034037197618,1.43865848730975e-06
5,5,16,0,-9.21034037197618,1.17110363666395e-06
5,5,16,0,-9.19111790765429,-0.0150592012386085
5,5,16,0,-9.17189544333239,-0.0302822893191502
5,5,16,0,-9.15267297901049,-0.045628919181848
5,5,16,0,-9.1334505146886,-0.0610577718656627
5,5,16,0,-9.1142280503667,-0.0765056282568476
5,5,16,0,-9.0950055860448,-0.0919154619544331
5,5,16,0,-9.07578312172291,-0.107219740677767
5,5,16,0,-9.05656065740101,-0.122361305573205
5,5,16,0,-9.03733819307911,-0.137272997437094
5,5,16,0,-9.01811572875722,-0.151921928277397
5,5,16,0,-8.99889326443532,-0.16626794666881
5,5,16,0,-8.97967080011342,-0.180297540596254
5,5,16,0,-8.96044833579153,-0.194009679437375
5,5,16,0,-8.94122587146963,-0.207404742169299
